iter	RMSE
0	25.68646906
1	24.75153462
2	23.79269382
3	22.95271184
4	22.25400785
5	21.71750136
6	21.10456825
7	20.56676408
8	20.09692868
9	19.69662567
10	19.35748624
11	19.00266918
12	18.65893112
13	18.37208114
14	18.09238549
15	17.8479092
16	17.64486276
17	17.40133668
18	17.23589653
19	17.04913682
20	17.01239959
21	16.81808358
22	16.61555756
23	16.59183386
24	16.49930904
25	16.30729106
26	16.18906622
27	16.03594901
28	16.00021062
29	15.96007895
30	15.87840454
31	15.79513426
32	15.77789407
33	15.69109286
34	15.6657267
35	15.60454589
36	15.53985785
37	15.50636407
38	15.40816376
39	15.35105548
40	15.25046359
41	15.18789708
42	15.15305766
43	15.11155771
44	15.02575262
45	14.96694747
46	14.91218344
47	14.80676328
48	14.78725623
49	14.75422677
50	14.63362393
51	14.58102896
52	14.56891102
53	14.53588109
54	14.4320218
55	14.35677261
56	14.32231335
57	14.27175124
58	14.25049736
59	14.19812075
60	14.17679145
61	14.14041899
62	14.09378341
63	14.04535697
64	13.96540061
65	13.93775241
66	13.88975077
67	13.87915374
68	13.86008736
69	13.83385652
70	13.81137357
71	13.79143943
72	13.70566024
73	13.70338193
74	13.63219786
75	13.62568809
76	13.62207038
77	13.61450573
78	13.5496486
79	13.52235579
80	13.51764245
81	13.4767347
82	13.44231123
83	13.43675281
84	13.41126025
85	13.37045467
86	13.36370406
87	13.32969018
88	13.292915
89	13.27426047
90	13.23701491
91	13.21496427
92	13.17450203
93	13.09781791
94	13.06786083
95	13.03435457
96	13.0196659
97	12.97294684
98	12.94336381
99	12.89995005
