iter	Passed	Remaining
0	1	126
1	2	118
2	3	109
3	4	107
4	5	107
5	6	104
6	7	104
7	9	104
8	10	104
9	11	103
10	12	101
11	13	100
12	14	100
13	16	99
14	17	98
15	18	96
16	19	94
17	20	93
18	21	92
19	22	90
20	23	88
21	24	87
22	25	86
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	77
31	35	76
32	36	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	46	66
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	60	51
54	61	50
55	62	49
56	64	48
57	64	47
58	66	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	87	24
78	88	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	17
84	95	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	101	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
